Address,Rooms,Price,Bedroom2,Bathroom,Landsize,YearBuilt,Regionname,Suburb,Type
55 Merton St,3,2100000,2,1,120,1900,Southern Metropolitan,Albert Park,h
49 Page St,3,2000000,3,1,238,1890,Southern Metropolitan,Albert Park,h
13/52 Moubray St,1,442500,1,1,0,1970,Southern Metropolitan,Albert Park,u
115 Page St,4,4735000,4,2,330,1910,Southern Metropolitan,Albert Park,h
32 Page St,2,1340000,2,1,136,,Southern Metropolitan,Albert Park,h
34 Richardson St,3,1801000,3,1,202,,Southern Metropolitan,Albert Park,h
2b Dundas Pl,3,1532000,3,3,0,,Southern Metropolitan,Albert Park,h
22 Greig St,3,3755000,3,2,325,,Southern Metropolitan,Albert Park,h
27 Barrett St,4,2140000,3,2,183,1880,Southern Metropolitan,Albert Park,h
44 Greig St,2,1750000,2,1,162,,Southern Metropolitan,Albert Park,h
6 Brooke St,2,980000,2,1,79,1890,Southern Metropolitan,Albert Park,h
227a Danks St,3,2030000,3,2,152,,Southern Metropolitan,Albert Park,h
17 Reed St,3,1740000,3,2,147,1890,Southern Metropolitan,Albert Park,h
74 Bridport St,3,2800000,3,3,0,,Southern Metropolitan,Albert Park,h
9 Durham St,1,985000,1,1,81,1900,Southern Metropolitan,Albert Park,h
6 Smith St,4,2000000,3,2,853,1930,Northern Metropolitan,Alphington,h
5/6 Yarralea St,3,1110000,3,2,208,2013,Northern Metropolitan,Alphington,h
136A Fulham Rd,3,1492000,3,2,411,,Northern Metropolitan,Alphington,h
44 Shiers St,4,1717500,4,2,599,1925,Northern Metropolitan,Alphington,h
83 Fulham Rd,5,2840000,5,4,809,1910,Northern Metropolitan,Alphington,h
3/19 Harker St,2,525500,2,1,88,1960,Northern Metropolitan,Alphington,u
4/2 Miller St,2,805000,2,2,155,2004,Northern Metropolitan,Alphington,t
2/5 Yarana Rd,2,465000,2,1,0,,Northern Metropolitan,Alphington,u
815 Heidelberg Rd,3,2000000,3,3,686,,Northern Metropolitan,Alphington,h
44 Naroon Rd,3,1540000,3,1,592,,Northern Metropolitan,Alphington,h
3/98 Grange Rd,2,820000,2,1,183,,Northern Metropolitan,Alphington,u
10 Bennett St,4,1830000,4,2,606,1970,Northern Metropolitan,Alphington,h
38 Bennett St,4,2100000,4,2,575,2008,Northern Metropolitan,Alphington,h
2c Hamilton St,3,865000,3,1,180,2010,Northern Metropolitan,Alphington,h
5/5 Yarana Rd,2,390000,2,1,0,1960,Northern Metropolitan,Alphington,u
7/7 Chandler Hwy,2,650000,0,1,0,,Northern Metropolitan,Alphington,t
1/14 Fulham Rd,2,512000,2,1,0,1965,Northern Metropolitan,Alphington,u
22 Lowther St,3,1165000,3,1,979,,Northern Metropolitan,Alphington,h
11 Margaret Gr,4,1900000,4,2,556,1930,Northern Metropolitan,Alphington,h
6 Naroon Rd,3,1485000,3,0,597,,Northern Metropolitan,Alphington,h
42 Shiers St,4,1950000,4,2,589,1920,Northern Metropolitan,Alphington,h
158 Queen St,3,520000,3,2,352,2015,Western Metropolitan,Altona,h
59 Bracken Gr,5,1525000,5,3,729,2005,Western Metropolitan,Altona,h
1/123 Blyth St,2,720000,2,1,292,2013,Western Metropolitan,Altona,t
4 Blyth St,3,1120000,3,1,506,1930,Western Metropolitan,Altona,h
20 Linnet St,4,780000,4,1,655,,Western Metropolitan,Altona,h
29 Rose St,4,1780000,4,3,1057,1962,Western Metropolitan,Altona,h
1/170 Blyth St,3,630000,2,1,311,1955,Western Metropolitan,Altona,u
5/35 Grieve Pde,2,406000,2,1,65,,Western Metropolitan,Altona,u
156 Maidstone St,3,660000,3,1,602,1955,Western Metropolitan,Altona,h
11 Keeshan Ct,3,683500,3,1,530,,Western Metropolitan,Altona,h
1/136 Queen St,2,580000,2,1,225,1988,Western Metropolitan,Altona,u
173 Queen St,3,1335000,3,1,777,1953,Western Metropolitan,Altona,h
1/265 Queen St,3,800000,3,2,280,1997,Western Metropolitan,Altona,t
3/26 Grieve Pde,2,510000,2,1,127,1990,Western Metropolitan,Altona,u
261 Queen St,4,1070000,4,2,695,,Western Metropolitan,Altona,h
4/5 Rose St,2,425000,2,1,115,1980,Western Metropolitan,Altona,u
1/60 David St,3,605000,3,2,230,,Western Metropolitan,Altona,u
1A Merritt Ct,3,705000,3,2,197,,Western Metropolitan,Altona,t
4/31 Millers Rd,2,391000,2,1,0,1965,Western Metropolitan,Altona,u
111/112 Pier St,2,440000,2,1,0,,Western Metropolitan,Altona,u
24 Wren St,4,845000,4,1,745,1950,Western Metropolitan,Altona,h
1/152 Blyth St,3,743000,3,2,211,,Western Metropolitan,Altona,t
4/57 Blyth St,3,730000,3,2,69,2014,Western Metropolitan,Altona,u
164 Maidstone St,3,635000,3,1,625,1960,Western Metropolitan,Altona,h
3/25 Rayner St,2,620000,2,1,168,,Western Metropolitan,Altona,u
3/46 Sargood St,2,447000,2,1,137,1990,Western Metropolitan,Altona,u
1/57 Blyth St,3,730000,3,2,70,,Western Metropolitan,Altona,u
22 Fenfield St,3,678000,3,1,606,1950,Western Metropolitan,Altona,h
5/8 David St,2,580000,2,2,175,2013,Western Metropolitan,Altona,u
1/28 Seves St,3,712000,3,1,363,,Western Metropolitan,Altona,h
27 McIntyre Dr,3,840000,3,2,534,1965,Western Metropolitan,Altona,h
4 Boyd St,3,980000,3,1,724,,Western Metropolitan,Altona,h
12 Spear Ct,3,605100,3,2,265,,Western Metropolitan,Altona,t
185 Queen St,3,880000,3,3,577,,Western Metropolitan,Altona,h
3/20 Mulga St,3,577000,3,2,205,2007,Western Metropolitan,Altona,u
51 Millers Rd,4,1030000,4,1,797,,Western Metropolitan,Altona,h
2/119 Railway St N,3,605000,3,1,181,,Western Metropolitan,Altona,u
24 McIntyre Dr,3,753000,3,2,529,,Western Metropolitan,Altona,h
104 Maidstone St,2,857000,2,2,675,1950,Western Metropolitan,Altona,h
49 Bent St,3,1500000,3,1,929,,Western Metropolitan,Altona,h
5/57 Blyth St,3,730000,3,2,70,2014,Western Metropolitan,Altona,u
15 Kookaburra St,3,900000,3,1,697,,Western Metropolitan,Altona,h
219 Civic Pde,3,740000,3,1,604,,Western Metropolitan,Altona,h
3 Curtin Ct,4,931000,4,2,532,1970,Western Metropolitan,Altona,h
2/60 David St,2,535600,2,1,154,1996,Western Metropolitan,Altona,h
45 Hearn St,5,1085000,5,3,592,1965,Western Metropolitan,Altona North,h
4 Knapp St,3,781000,3,1,533,1970,Western Metropolitan,Altona North,h
21 Hatherley Gr,3,750000,3,1,554,,Western Metropolitan,Altona North,h
3/66 Marion St,2,421000,2,1,77,2009,Western Metropolitan,Altona North,t
153 Mills St,3,1405000,3,1,655,,Western Metropolitan,Altona North,h
33 Carthy St,3,683000,3,1,534,1967,Western Metropolitan,Altona North,h
16 Harris St,3,623000,3,1,540,,Western Metropolitan,Altona North,h
1/5 Little St,3,720000,3,2,0,2012,Western Metropolitan,Altona North,h
1/95 Mills St,3,588000,3,1,328,1970,Western Metropolitan,Altona North,h
5 Binns St,3,710000,3,1,540,1960,Western Metropolitan,Altona North,h
25 Allan St,4,875000,3,1,559,1965,Western Metropolitan,Altona North,h
21 Hatherley Gr,3,700000,3,1,554,,Western Metropolitan,Altona North,h
1/256 Mason St,2,640000,2,1,252,1965,Western Metropolitan,Altona North,t
21 Allan St,4,650000,4,1,558,,Western Metropolitan,Altona North,h
2/36 May St,3,675000,3,2,171,2012,Western Metropolitan,Altona North,h
11 Beevers St,3,708000,3,1,585,1960,Western Metropolitan,Altona North,h
10 Murphy St,4,965000,4,1,851,,Western Metropolitan,Altona North,h
16 Beevers St,3,680000,3,1,551,,Western Metropolitan,Altona North,h
21 Neal Ct,3,770000,3,1,602,,Western Metropolitan,Altona North,h
31 Duosa Rd,3,923000,3,1,740,,Western Metropolitan,Altona North,h
252 Millers Rd,4,693000,4,2,315,2008,Western Metropolitan,Altona North,h
1/156 Chambers Rd,3,620000,5,2,276,2010,Western Metropolitan,Altona North,h
2 Gadsden St,3,728500,3,1,531,1960,Western Metropolitan,Altona North,h
24 Hansen St,3,931000,3,2,590,1950,Western Metropolitan,Altona North,h
4 Prismall St,3,988000,3,1,715,2008,Western Metropolitan,Altona North,h
122 McIntosh Rd,3,590000,3,1,561,,Western Metropolitan,Altona North,h
35 May St,2,610000,2,1,691,,Western Metropolitan,Altona North,h
6 Hill St,3,815000,3,2,555,1960,Western Metropolitan,Altona North,h
84 May St,4,970000,4,1,708,,Western Metropolitan,Altona North,h
155 Chambers Rd,4,760000,4,1,668,,Western Metropolitan,Altona North,h
268d Mason St,4,847500,4,3,252,,Western Metropolitan,Altona North,t
5 Cresser St,4,1200000,4,1,633,1960,Western Metropolitan,Altona North,h
107 McIntosh Rd,3,700000,3,1,557,,Western Metropolitan,Altona North,h
10 Knapp St,3,625000,3,1,536,,Western Metropolitan,Altona North,h
4/221 Blackshaws Rd,2,292000,2,1,153,1970,Western Metropolitan,Altona North,u
8/19 Mercer Rd,2,599000,2,1,0,1964,Southern Metropolitan,Armadale,u
1/42 Adelaide St,2,550000,2,1,861,,Southern Metropolitan,Armadale,u
14/71 Denbigh Rd,3,995000,3,2,0,1998,Southern Metropolitan,Armadale,u
4/769 High St,3,1205000,3,2,101,2000,Southern Metropolitan,Armadale,t
7 Llaneast St,3,1939000,3,2,296,1889,Southern Metropolitan,Armadale,h
9/55 Northcote Rd,1,421500,1,1,0,,Southern Metropolitan,Armadale,u
28 Cambridge St,3,1870000,3,1,217,1888,Southern Metropolitan,Armadale,h
3/16 Fulton St,2,678000,2,1,0,,Southern Metropolitan,Armadale,u
3/20 Mercer Rd,3,1918000,3,2,0,1995,Southern Metropolitan,Armadale,t
1/77 Wattletree Rd,2,660000,2,1,0,,Southern Metropolitan,Armadale,u
12 Willis St,3,2050000,3,2,205,1910,Southern Metropolitan,Armadale,h
8/71 Denbigh Rd,2,700000,2,1,0,,Southern Metropolitan,Armadale,u
11/17 Myamyn St,2,3625000,3,2,0,2006,Southern Metropolitan,Armadale,u
526 Orrong Rd,4,3000000,4,2,1581,1934,Southern Metropolitan,Armadale,h
553 Dandenong Rd,5,1525000,8,2,693,,Southern Metropolitan,Armadale,h
9/19 Mercer Rd,3,735000,3,2,2113,1970,Southern Metropolitan,Armadale,u
6/26 Mercer Rd,2,825000,2,1,0,,Southern Metropolitan,Armadale,u
538a Orrong Rd,3,1586000,2,2,246,,Southern Metropolitan,Armadale,t
18/41 Kooyong Rd,2,645000,3,1,0,1960,Southern Metropolitan,Armadale,u
10 William St,1,1435000,2,2,144,1900,Southern Metropolitan,Armadale,h
15/405 Dandenong Rd,1,280000,1,1,0,1975,Southern Metropolitan,Armadale,u
1/2 Armadale St,1,400000,1,1,0,,Southern Metropolitan,Armadale,u
4/20 Mercer Rd,2,1780000,2,2,0,,Southern Metropolitan,Armadale,h
8/58 Sutherland Rd,2,592500,2,1,0,1970,Southern Metropolitan,Armadale,u
40 New St,2,1210000,2,1,249,1910,Southern Metropolitan,Armadale,h
35 Northcote Rd,4,2801000,4,2,624,1900,Southern Metropolitan,Armadale,h
7/53 Wattletree Rd,1,390000,1,1,881,,Southern Metropolitan,Armadale,u
791 High St,3,1800000,3,2,405,1910,Southern Metropolitan,Armadale,h
25 Llaneast St,4,2200000,4,1,495,1900,Southern Metropolitan,Armadale,h
8/569 Orrong Rd,1,324000,1,1,0,,Southern Metropolitan,Armadale,u
367 Dandenong Rd,6,5525000,5,3,1491,1935,Southern Metropolitan,Armadale,h
34a Rose St,2,1125000,3,1,169,,Southern Metropolitan,Armadale,h
42 Rose St,3,2250000,3,3,301,,Southern Metropolitan,Armadale,h
12 Auburn Gr,3,2360000,3,2,336,,Southern Metropolitan,Armadale,h
31 Hume St,2,1900000,2,2,207,,Southern Metropolitan,Armadale,h
10/581 Orrong Rd,1,440000,1,1,0,1970,Southern Metropolitan,Armadale,u
7/579 Dandenong Rd,2,490000,2,1,0,1966,Southern Metropolitan,Armadale,u
19 Glassford St,3,2365000,3,2,316,,Southern Metropolitan,Armadale,h
14 New St,3,1300000,2,1,212,1900,Southern Metropolitan,Armadale,h
7/501 Orrong Rd,3,732000,3,2,0,,Southern Metropolitan,Armadale,u
6/51 Armadale St,2,704000,2,1,0,1969,Southern Metropolitan,Armadale,u
12/41 Kooyong Rd,2,620000,3,1,0,1970,Southern Metropolitan,Armadale,u
63 Denbigh Rd,3,1900000,3,1,328,1900,Southern Metropolitan,Armadale,h
13/56 Sutherland Rd,1,315000,1,1,0,,Southern Metropolitan,Armadale,u
7/22 Derby St,1,450000,1,1,0,,Southern Metropolitan,Armadale,u
10/51 Armadale St,2,710000,2,1,2471,1970,Southern Metropolitan,Armadale,u
2/377 Dandenong Rd,2,872000,2,1,1194,1953,Southern Metropolitan,Armadale,u
1/14 Denbigh Rd,2,598000,2,1,0,1970,Southern Metropolitan,Armadale,u
75 Sutherland Rd,3,1285000,3,1,186,1920,Southern Metropolitan,Armadale,h
61 Union St,4,3660000,4,3,421,,Southern Metropolitan,Armadale,h
1/403 Dandenong Rd,2,520000,1,1,0,1970,Southern Metropolitan,Armadale,u
44 Denbigh Rd,4,3625000,4,1,709,1900,Southern Metropolitan,Armadale,h
44 Hampden Rd,4,4200000,4,3,563,2000,Southern Metropolitan,Armadale,h
3/769 High St,3,1101000,3,1,103,2000,Southern Metropolitan,Armadale,t
4 Mercer Rd,3,3512500,3,2,617,1998,Southern Metropolitan,Armadale,h
17 Kooyong Rd,4,2000000,4,3,544,,Southern Metropolitan,Armadale,h
1/31 Mercer Rd,3,869000,2,1,0,1940,Southern Metropolitan,Armadale,u
16 Llaneast St,5,2810000,5,2,617,,Southern Metropolitan,Armadale,h
2/532 Orrong Rd,2,565000,3,1,0,,Southern Metropolitan,Armadale,u
5/555 Orrong Rd,1,567000,1,1,0,2013,Southern Metropolitan,Armadale,u
3/50 Denbigh Rd,2,546000,2,0,0,,Southern Metropolitan,Armadale,u
7/844 Malvern Rd,2,471500,2,1,0,1980,Southern Metropolitan,Armadale,u
2/43 Roxburgh St,2,455000,3,1,0,,Western Metropolitan,Ascot Vale,u
30 Rothwell St,3,940000,3,1,298,1920,Western Metropolitan,Ascot Vale,h
9/5 Rothwell St,2,467000,2,1,0,1980,Western Metropolitan,Ascot Vale,u
7 Francis St,3,1380000,3,2,277,1910,Western Metropolitan,Ascot Vale,h
2/21 Harold St,2,490000,2,1,423,1970,Western Metropolitan,Ascot Vale,u
44 The Parade,4,1850000,4,3,478,1900,Western Metropolitan,Ascot Vale,h
97 Walter St,3,1284000,3,1,623,1938,Western Metropolitan,Ascot Vale,h
98 Epsom Rd,3,971000,3,2,285,1900,Western Metropolitan,Ascot Vale,h
8 Geddes St,2,710000,2,1,214,1890,Western Metropolitan,Ascot Vale,h
75 Maribyrnong Rd,6,2425000,6,3,1014,1887,Western Metropolitan,Ascot Vale,h
119 Roseberry St,2,750000,2,1,226,1920,Western Metropolitan,Ascot Vale,h
10 Fenton St,2,1053000,2,1,269,1900,Western Metropolitan,Ascot Vale,h
10 McCully St,3,1377000,3,1,417,1900,Western Metropolitan,Ascot Vale,h
120 Epsom Rd,3,970000,3,1,350,1904,Western Metropolitan,Ascot Vale,h
47 Hurtle St,2,940000,2,1,330,,Western Metropolitan,Ascot Vale,h
63 Kent St,2,751000,2,1,118,1890,Western Metropolitan,Ascot Vale,h
4 The Parade,2,950000,2,1,173,1900,Western Metropolitan,Ascot Vale,h
1/17 Epsom Rd,2,685000,2,1,228,1995,Western Metropolitan,Ascot Vale,u
41 Monash St,3,1230000,4,1,594,1960,Western Metropolitan,Ascot Vale,h
2/78 Ormond Rd,2,636500,2,1,0,,Western Metropolitan,Ascot Vale,h
83 Roseberry St,3,910000,3,1,317,,Western Metropolitan,Ascot Vale,h
51 Francis St,2,770000,2,1,226,1900,Western Metropolitan,Ascot Vale,h
33 Dalgety Dr,3,960000,3,2,229,2011,Western Metropolitan,Ascot Vale,h
12 Mirams St,4,890000,4,1,300,1890,Western Metropolitan,Ascot Vale,h
2 The Parade,2,965000,2,1,170,,Western Metropolitan,Ascot Vale,h
78 The Parade,3,1440000,3,1,487,1900,Western Metropolitan,Ascot Vale,h
11 Ascot St,2,955000,2,1,255,,Western Metropolitan,Ascot Vale,h
24/54 Epsom Rd,2,450000,2,1,0,2010,Western Metropolitan,Ascot Vale,u
2 Farncomb St,3,801000,3,1,431,1950,Western Metropolitan,Ascot Vale,h
26 Newsom St,3,1000000,3,2,440,1955,Western Metropolitan,Ascot Vale,h
8 Pentland St,3,1435000,3,2,532,1950,Western Metropolitan,Ascot Vale,h
8/129 The Parade,1,390000,1,1,0,1972,Western Metropolitan,Ascot Vale,u
52 Monash St,3,1425000,3,2,495,1920,Western Metropolitan,Ascot Vale,h
58 Fenton St,4,1340000,3,2,683,1978,Western Metropolitan,Ascot Vale,h
70 Munro St,3,955000,3,1,263,1910,Western Metropolitan,Ascot Vale,h
125 Epsom Rd,4,1100000,4,2,559,1920,Western Metropolitan,Ascot Vale,h
33 Hockey La,3,1255000,3,2,308,,Western Metropolitan,Ascot Vale,h
3/28 Ormond Rd,2,432000,2,1,0,1978,Western Metropolitan,Ascot Vale,u
7 Angler Pde,4,1640000,4,3,562,1890,Western Metropolitan,Ascot Vale,h
26 Ayr St,6,1430000,4,2,461,1900,Western Metropolitan,Ascot Vale,h
2/127 Epsom Rd,2,610000,2,1,301,1995,Western Metropolitan,Ascot Vale,u
57 The Parade,3,940000,3,3,491,1950,Western Metropolitan,Ascot Vale,h
62 Mirams St,3,890000,3,1,242,1920,Western Metropolitan,Ascot Vale,h
67 Hurtle St,3,1180000,3,2,617,1930,Western Metropolitan,Ascot Vale,h
95 Walter St,4,1480000,4,2,597,1939,Western Metropolitan,Ascot Vale,h
15 Bayview Tce,2,1150000,2,1,387,,Western Metropolitan,Ascot Vale,h
57 Monash St,3,1350000,3,1,575,,Western Metropolitan,Ascot Vale,h
54 South St,5,1905000,5,2,521,,Western Metropolitan,Ascot Vale,h
3/8 Walter St,2,865000,2,2,146,2015,Western Metropolitan,Ascot Vale,t
2/225 Maribyrnong Rd,2,705000,2,2,113,1998,Western Metropolitan,Ascot Vale,t
12/9 Milton St,2,442000,2,1,0,1975,Western Metropolitan,Ascot Vale,u
107/8 Burrowes St,2,540000,2,2,0,,Western Metropolitan,Ascot Vale,u
21A Geddes St,3,1037500,3,1,506,1920,Western Metropolitan,Ascot Vale,h
1/20 Newsom St,3,1050000,3,2,318,2013,Western Metropolitan,Ascot Vale,t
4/27 Roseberry St,2,440000,2,1,0,1970,Western Metropolitan,Ascot Vale,u
126 The Parade,2,1010000,2,1,325,,Western Metropolitan,Ascot Vale,h
43 Bloomfield Rd,4,1430000,4,2,418,1900,Western Metropolitan,Ascot Vale,h
6/17 Geddes St,2,570000,2,1,0,,Western Metropolitan,Ascot Vale,u
1/60 The Parade,2,690000,2,1,0,,Western Metropolitan,Ascot Vale,u
45 Bloomfield Rd,3,1291000,3,1,414,,Western Metropolitan,Ascot Vale,h
21 Middle St,3,1130000,3,2,272,1900,Western Metropolitan,Ascot Vale,h
78 Francis St,3,1135000,3,1,296,1910,Western Metropolitan,Ascot Vale,h
25 Geddes St,4,950000,4,2,298,1920,Western Metropolitan,Ascot Vale,h
